# prodcon: sc-disconn-ms
# configuration: -p 40 -sc_disconn_seed 13 -c 4000 -operations 1000000
# recorded at: Tue Nov 17 16:40:12 CET 2015
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 6902367 ,"operations": 1000000 ,"c": 4000 ,"throughput": 5795
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 6857600 ,"operations": 1000000 ,"c": 4000 ,"throughput": 5832
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 7071979 ,"operations": 1000000 ,"c": 4000 ,"throughput": 5656
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 7005906 ,"operations": 1000000 ,"c": 4000 ,"throughput": 5709
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 7109930 ,"operations": 1000000 ,"c": 4000 ,"throughput": 5625
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 6798911 ,"operations": 1000000 ,"c": 4000 ,"throughput": 5883
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 6505127 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7686
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 6716871 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7443
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 6828521 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7322
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 6568276 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7612
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 6873149 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7274
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 6774423 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7380
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 6870713 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7277
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 6673625 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7492
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 7012321 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7130
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 6842683 ,"operations": 1000000 ,"c": 4000 ,"throughput": 7307
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 6025767 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9957
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 6515251 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9209
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 6624737 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9056
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 6872373 ,"operations": 1000000 ,"c": 4000 ,"throughput": 8730
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 5964662 ,"operations": 1000000 ,"c": 4000 ,"throughput": 10059
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 6331686 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9476
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 6933663 ,"operations": 1000000 ,"c": 4000 ,"throughput": 8653
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 6089115 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9853
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 5630608 ,"operations": 1000000 ,"c": 4000 ,"throughput": 10656
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 6485354 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9251
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5648559 ,"operations": 1000000 ,"c": 4000 ,"throughput": 12392
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5590989 ,"operations": 1000000 ,"c": 4000 ,"throughput": 12520
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5567052 ,"operations": 1000000 ,"c": 4000 ,"throughput": 12573
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5562681 ,"operations": 1000000 ,"c": 4000 ,"throughput": 12583
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5751457 ,"operations": 1000000 ,"c": 4000 ,"throughput": 12170
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5665262 ,"operations": 1000000 ,"c": 4000 ,"throughput": 12356
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5906290 ,"operations": 1000000 ,"c": 4000 ,"throughput": 11851
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5479439 ,"operations": 1000000 ,"c": 4000 ,"throughput": 12775
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5558576 ,"operations": 1000000 ,"c": 4000 ,"throughput": 12593
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 5493639 ,"operations": 1000000 ,"c": 4000 ,"throughput": 12742
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4827486 ,"operations": 1000000 ,"c": 4000 ,"throughput": 16571
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4839819 ,"operations": 1000000 ,"c": 4000 ,"throughput": 16529
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4863140 ,"operations": 1000000 ,"c": 4000 ,"throughput": 16450
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4524649 ,"operations": 1000000 ,"c": 4000 ,"throughput": 17680
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4590437 ,"operations": 1000000 ,"c": 4000 ,"throughput": 17427
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4273571 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18719
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4666503 ,"operations": 1000000 ,"c": 4000 ,"throughput": 17143
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4834242 ,"operations": 1000000 ,"c": 4000 ,"throughput": 16548
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4655697 ,"operations": 1000000 ,"c": 4000 ,"throughput": 17183
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 4447190 ,"operations": 1000000 ,"c": 4000 ,"throughput": 17988
