# prodcon: sc-disconn-ms
# configuration: -p 40 -sc_disconn_seed 13 -c 4000 -operations 1000000
# recorded at: Thu Nov 19 22:50:13 CET 2015
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 2178932 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18357
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 2187118 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18288
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 2185213 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18304
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 2185828 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18299
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 2182142 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18330
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 2179851 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18349
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2734931 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18281
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2711942 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18436
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2704728 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18486
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2778253 ,"operations": 1000000 ,"c": 4000 ,"throughput": 17996
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2726340 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18339
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2709072 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18456
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2764246 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18088
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2763960 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18089
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2712531 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18432
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 2763374 ,"operations": 1000000 ,"c": 4000 ,"throughput": 18093
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2804074 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21397
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2759067 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21746
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2779827 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21584
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2824991 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21239
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2810889 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21345
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2825851 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21232
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 2750508 ,"operations": 1000000 ,"c": 4000 ,"throughput": 21814
