# prodcon: ms
# configuration:  -c 4000 -operations 1000000
# recorded at: Wed Nov 18 12:02:46 CET 2015
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 62272263 ,"operations": 1000000 ,"c": 4000 ,"throughput": 642
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 68096567 ,"operations": 1000000 ,"c": 4000 ,"throughput": 587
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 61545301 ,"operations": 1000000 ,"c": 4000 ,"throughput": 649
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 62008049 ,"operations": 1000000 ,"c": 4000 ,"throughput": 645
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 61436570 ,"operations": 1000000 ,"c": 4000 ,"throughput": 651
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 97195150 ,"operations": 1000000 ,"c": 4000 ,"throughput": 514
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 95577695 ,"operations": 1000000 ,"c": 4000 ,"throughput": 523
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 95930528 ,"operations": 1000000 ,"c": 4000 ,"throughput": 521
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 94026195 ,"operations": 1000000 ,"c": 4000 ,"throughput": 531
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 94210335 ,"operations": 1000000 ,"c": 4000 ,"throughput": 530
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 91069479 ,"operations": 1000000 ,"c": 4000 ,"throughput": 549
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 93874513 ,"operations": 1000000 ,"c": 4000 ,"throughput": 532
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 97020354 ,"operations": 1000000 ,"c": 4000 ,"throughput": 515
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 98166764 ,"operations": 1000000 ,"c": 4000 ,"throughput": 509
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 95878002 ,"operations": 1000000 ,"c": 4000 ,"throughput": 521
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 98738985 ,"operations": 1000000 ,"c": 4000 ,"throughput": 607
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 104249228 ,"operations": 1000000 ,"c": 4000 ,"throughput": 575
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 117183360 ,"operations": 1000000 ,"c": 4000 ,"throughput": 512
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 108723423 ,"operations": 1000000 ,"c": 4000 ,"throughput": 551
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 95620554 ,"operations": 1000000 ,"c": 4000 ,"throughput": 627
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 113743542 ,"operations": 1000000 ,"c": 4000 ,"throughput": 527
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 119363479 ,"operations": 1000000 ,"c": 4000 ,"throughput": 502
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 106908751 ,"operations": 1000000 ,"c": 4000 ,"throughput": 561
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 100187718 ,"operations": 1000000 ,"c": 4000 ,"throughput": 598
{"threads": 60 ,"producers": 30 ,"consumers": 30 ,"runtime": 95308726 ,"operations": 1000000 ,"c": 4000 ,"throughput": 629
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 113200266 ,"operations": 1000000 ,"c": 4000 ,"throughput": 618
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 123821509 ,"operations": 1000000 ,"c": 4000 ,"throughput": 565
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 135646998 ,"operations": 1000000 ,"c": 4000 ,"throughput": 516
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 119820456 ,"operations": 1000000 ,"c": 4000 ,"throughput": 584
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 125535857 ,"operations": 1000000 ,"c": 4000 ,"throughput": 557
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 111615358 ,"operations": 1000000 ,"c": 4000 ,"throughput": 627
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 120393248 ,"operations": 1000000 ,"c": 4000 ,"throughput": 581
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 121903301 ,"operations": 1000000 ,"c": 4000 ,"throughput": 574
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 121887555 ,"operations": 1000000 ,"c": 4000 ,"throughput": 574
{"threads": 70 ,"producers": 35 ,"consumers": 35 ,"runtime": 119143367 ,"operations": 1000000 ,"c": 4000 ,"throughput": 587
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 171428154 ,"operations": 1000000 ,"c": 4000 ,"throughput": 466
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 175329099 ,"operations": 1000000 ,"c": 4000 ,"throughput": 456
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 173380075 ,"operations": 1000000 ,"c": 4000 ,"throughput": 461
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 172901203 ,"operations": 1000000 ,"c": 4000 ,"throughput": 462
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 132863557 ,"operations": 1000000 ,"c": 4000 ,"throughput": 602
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 167492103 ,"operations": 1000000 ,"c": 4000 ,"throughput": 477
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 161121274 ,"operations": 1000000 ,"c": 4000 ,"throughput": 496
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 171277417 ,"operations": 1000000 ,"c": 4000 ,"throughput": 467
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 138274481 ,"operations": 1000000 ,"c": 4000 ,"throughput": 578
{"threads": 80 ,"producers": 40 ,"consumers": 40 ,"runtime": 135104668 ,"operations": 1000000 ,"c": 4000 ,"throughput": 592
